"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Satisfies Epic 200 AC 1 & 2: Cart Badge updates dynamically upon adding/removing.","4234","Verify User Can Add And Remove Merchandise Seamlessly","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:12 UTC 2026","Cart Tests","Tests","",""
"Uses Real NLP to verify that the AI is being 'Positive'.","44","Verify Customer Success AI Sentiment","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:08 UTC 2026","Ai Feature Tests","Tests","",""
"Verifies that the ""Price (high to low)"" sorting option works correctly.","3588","Verify User Can Sort Products By Price High To Low","","Mon Apr 20 17:58:28 UTC 2026","passed","Mon Apr 20 17:58:32 UTC 2026","Sorting Tests","Tests","",""
"Demonstrates how NLP detects negative or 'toxic' AI responses.","6","Verify Aggressive Toxicity Filter (Negative Test)","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:08 UTC 2026","Ai Feature Tests","Tests","",""
"","3176","Successful Login","","Mon Apr 20 17:58:13 UTC 2026","passed","Mon Apr 20 17:58:16 UTC 2026","Login Tests","Tests","",""
"Verifies that the ""Price (low to high)"" sorting option works correctly.","3615","Verify User Can Sort Products By Price Low To High","","Mon Apr 20 17:58:25 UTC 2026","passed","Mon Apr 20 17:58:28 UTC 2026","Sorting Tests","Tests","",""
"Verify order can be placed successfully.","7416","Complete E2E Checkout Flow With Backpack","","Mon Apr 20 17:58:09 UTC 2026","passed","Mon Apr 20 17:58:16 UTC 2026","Checkout Tests","Tests","",""
"Measures the inclusion of intent keywords.","4","Check Semantic Intent Coverage","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:08 UTC 2026","Ai Feature Tests","Tests","",""
"Verifies that the ""Name (A to Z)"" sorting option works correctly.","3845","Verify User Can Sort Products By Name Ascending","","Mon Apr 20 17:58:17 UTC 2026","passed","Mon Apr 20 17:58:21 UTC 2026","Sorting Tests","Tests","",""
"Verifies that the ""Name (Z to A)"" sorting option works correctly.","3552","Verify User Can Sort Products By Name Descending","","Mon Apr 20 17:58:21 UTC 2026","passed","Mon Apr 20 17:58:25 UTC 2026","Sorting Tests","Tests","",""
"Covers both word-bag heuristics and NLP sentiment in one call.","3","Hybrid Intent and Sentiment Validation","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:08 UTC 2026","Ai Feature Tests","Tests","",""
"","2925","Invalid Credentials Login","","Mon Apr 20 17:58:19 UTC 2026","passed","Mon Apr 20 17:58:22 UTC 2026","Login Tests","Tests","",""
"","2868","Locked Out User Login","","Mon Apr 20 17:58:16 UTC 2026","passed","Mon Apr 20 17:58:19 UTC 2026","Login Tests","Tests","",""
"Ensures technical descriptions are neutral and unbiased.","3","Verify Technical Output Is Fact-Based (Neutral)","","Mon Apr 20 17:58:08 UTC 2026","passed","Mon Apr 20 17:58:08 UTC 2026","Ai Feature Tests","Tests","",""
